PAIS_ISO3,CONTINENTE,ISO_continente,NOMBRE_VACUNA,NOMBRE_TIPO_VACUNA,NOMBRE_COMPAÑIA,FECHA_AUTORIZACION,FECHA_INICIO_VACUNACION,FUENTE_DATOS
FRO,Europe,EU,Moderna - mRNA-1273,mRNA-1273,Moderna,0,0,OWID
FRO,Europe,EU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
SHN,Africa,AF,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
GRL,North America,NA,Moderna - mRNA-1273,mRNA-1273,Moderna,0,0,OWID
JEY,Europe,EU,Moderna - mRNA-1273,mRNA-1273,Moderna,0,0,OWID
JEY,Europe,EU,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
JEY,Europe,EU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
GGY,Europe,EU,Moderna - mRNA-1273,mRNA-1273,Moderna,0,0,OWID
GGY,Europe,EU,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
GGY,Europe,EU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
TUR,Asia,AS,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
TUR,Asia,AS,Sinovac - CoronaVac,Coronavac,Sinovac,0,0,OWID
TUR,Asia,AS,Turkovac,Sin Determinar,Sin Determinar,0,0,OWID
RUS,Europe,EU,SRCVB - EpiVacCorona,EpiVacCorona,State Research Center of Virology & Biotechnology,0,0,OWID
BIH,Europe,EU,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
BIH,Europe,EU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
BIH,Europe,EU,Sinovac - CoronaVac,Coronavac,Sinovac,0,0,OWID
IMN,Europe,EU,Moderna - mRNA-1273,mRNA-1273,Moderna,0,0,OWID
IMN,Europe,EU,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
IMN,Europe,EU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
GIB,Europe,EU,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
GIB,Europe,EU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,0,0,OWID
FLK,South America,SA,AstraZeneca - AZD1222,AZD1222,AstraZeneca,0,0,OWID
TKM,Asia,AS,Anhui ZL - Zifivax,Zifivax,Anhui Zhifei Longcom Biopharmaceutical,0,24-02-2021,REPORTING
CHN,Asia,AS,Anhui ZL - Zifivax,Zifivax,Anhui Zhifei Longcom Biopharmaceutical,17-03-2021,17-03-2021,REPORTING
UZB,Asia,AS,Anhui ZL - Zifivax,Zifivax,Anhui Zhifei Longcom Biopharmaceutical,0,28-04-2021,REPORTING
CHN,Asia,AS,Shenzhen - LV-SMENP-DC,LV-SMENP-DC,Shenzhen GenoImmune Medical Institute,14-05-2021,01-06-2021,REPORTING
DEU,Europe,EU,Valneva - VLA2001,VLA2001,Valneva,0,14-09-2022,REPORTING
AUT,Europe,EU,Valneva - VLA2001,VLA2001,Valneva,0,24-08-2022,REPORTING
CUB,North America,NA,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,0,0,REPORTING
NIC,North America,NA,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,0,25-10-2021,REPORTING
IRN,Asia,AS,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,0,0,REPORTING
VEN,South America,SA,Finlay - Soberana-02,Soberana-02,Instituto Finlay de Vacunas,0,0,REPORTING
CHN,Asia,AS,IMB - Covidful,Covidful,Insitute of Medical Biology,09-06-2021,09-06-2021,REPORTING
ARM,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,0,27-01-2021,REPORTING
VNM,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,23-03-2021,01-08-2021,REPORTING
YEM,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,0,0,REPORTING
KAZ,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,0,07-04-2021,REPORTING
TKM,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,0,24-02-2021,REPORTING
OMN,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,14-02-2021,29-12-2020,REPORTING
PHL,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,19-03-2021,04-05-2021,REPORTING
LAO,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,03-02-2021,09-02-2021,REPORTING
GIN,Africa,AF,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,27-01-2021,05-03-2021,REPORTING
GHA,Africa,AF,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,09-02-2021,02-03-2021,REPORTING
SYR,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,03-02-2021,01-04-2021,REPORTING
CIV,Africa,AF,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,0,01-03-2021,REPORTING
VEN,South America,SA,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,01-01-2021,22-02-2021,REPORTING
LBN,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,16-12-2020,14-02-2021,REPORTING
LKA,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,04-03-2021,06-05-2021,REPORTING
PRY,South America,SA,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,22-12-2020,22-02-2021,REPORTING
NIC,North America,NA,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,02-02-2021,03-03-2021,REPORTING
MDV,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,30-01-2021,0,REPORTING
JOR,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,13-12-2020,13-01-2021,REPORTING
IRN,Asia,AS,Gamaleya - Gam-Covid-Vac,Gam-Covid-Vac,Gamaleya Research Institute,27-01-2021,09-02-2021,REPORTING
