PAIS_ISO3,OMS_REGION,CASOS_ACUM_TOTAL,CASOS_ACUM_TOTAL_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_24H,MUERTES_ACUM_INFORMADAS_ULT_7_DIAS,MUERTES_ACUM_TOTAL_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_24H
USA,Americas,103436829,31249.547,0,0.0,0,1127152,340.527,0,0.0,0
CHN,Western Pacific,99238850,6745.037,0,0.0,0,120896,8.217,0,0.0,0
IND,South-East Asia,44997710,3260.693,244,0.018,0,532027,38.553,3,0.0,0
FRA,Europe,38997490,59959.831,0,0.0,0,167985,258.282,0,0.0,0
DEU,Europe,38437756,46217.718,0,0.0,0,174979,210.395,0,0.0,0
BRA,Americas,37717062,17744.244,0,0.0,0,704659,331.512,0,0.0,0
KOR,Western Pacific,34571873,67432.071,0,0.0,0,35934,70.089,0,0.0,0
JPN,Western Pacific,33803572,26727.165,0,0.0,0,74694,59.058,0,0.0,0
ITA,Europe,25977012,43555.271,4122,6.911,0,191370,320.867,21,0.035,0
GBR,Europe,24704113,36390.584,2679,3.946,0,229089,337.461,0,0.0,0
RUS,Europe,22995765,15757.598,0,0.0,0,399999,274.095,0,0.0,0
TUR,Europe,17004677,20162.278,0,0.0,0,101419,120.252,0,0.0,0
ESP,Europe,13980340,29536.378,0,0.0,0,121852,257.438,0,0.0,0
VNM,Western Pacific,11623182,11940.982,207,0.213,0,43206,44.387,0,0.0,0
AUS,Western Pacific,11591525,45457.168,0,0.0,0,22887,89.753,0,0.0,0
ARG,Americas,10044957,22225.434,0,0.0,0,130472,288.682,0,0.0,0
NLD,Europe,8617412,49503.777,0,0.0,0,22986,132.046,0,0.0,0
MEX,Americas,7669841,5948.714,0,0.0,0,334506,259.442,0,0.0,0
IRN,Eastern Mediterranean,7614067,9065.126,0,0.0,0,146336,174.224,0,0.0,0
IDN,South-East Asia,6813378,2490.965,0,0.0,0,161918,59.197,0,0.0,0
POL,Europe,6519743,17176.14,336,0.885,0,119642,315.195,1,0.003,0
COL,Americas,6380389,12539.36,0,0.0,0,142942,280.924,0,0.0,0
AUT,Europe,6081287,68320.9,0,0.0,0,22534,253.161,0,0.0,0
PRT,Europe,5610180,54489.409,0,0.0,0,27247,264.639,0,0.0,0
UKR,Europe,5518385,12618.136,0,0.0,0,109904,251.302,0,0.0,0
GRC,Europe,5370810,50107.547,0,0.0,0,37413,349.049,0,0.0,0
CHL,Americas,5288806,27666.616,0,0.0,0,61605,322.266,0,0.0,0
MYS,Western Pacific,5127032,15840.796,0,0.0,0,37187,114.895,0,0.0,0
ISR,Europe,4835954,55871.193,526,6.077,0,12651,146.161,0,0.0,0
BEL,Europe,4809688,41741.923,3,0.026,0,34339,298.018,0,0.0,0
THA,South-East Asia,4756837,6814.955,244,0.35,0,34468,49.381,3,0.004,0
CAN,Americas,4697504,12446.306,0,0.0,0,53147,140.816,0,0.0,0
CZE,Europe,4645359,43439.176,493,4.61,0,42826,400.47,5,0.047,0
