PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Albania,ALB,Europe,EU,EURO,REPORTING,16-07-2023,3087677.0,1349150,107.3,47.26,1279231,44.811,13-01-2021,6.0,401767.0,14.074
Chile,CHL,South America,SA,AMRO,REPORTING,02-06-2023,66273384.0,18106832,346.687,94.72,17716364,92.677,21-12-2020,5.0,15766986.0,82.48
Congo,COG,Africa,AF,AFRO,REPORTING,31-07-2022,833210.0,695760,15.1,12.609,654119,11.854,23-03-2021,4.0,0.0,0.0
Côte d’Ivoire,CIV,Africa,AF,AFRO,REPORTING,19-02-2023,25263932.0,13568372,95.776,51.438,12164304,46.115,01-03-2021,5.0,3138712.0,11.899
Denmark,DNK,Europe,EU,EURO,REPORTING,20-08-2023,14943741.0,4754913,256.6,80.956,4719688,80.357,16-12-2020,5.0,3624228.0,61.706
Greenland,GRL,North America,NA,EURO,OWID,14-03-2022,79738.0,41227,140.453,72.619,38511,67.834,0,1.0,0.0,0.0
Guernsey,GGY,Europe,EU,EURO,OWID,19-12-2022,178525.0,54223,276.92,84.108,52710,81.761,0,3.0,69339.0,107.556
Guinea,GIN,Africa,AF,AFRO,REPORTING,02-04-2023,10645240.0,7679918,81.058,58.479,4725982,35.986,05-03-2021,6.0,302545.0,2.304
Guinea-Bissau,GNB,Africa,AF,AFRO,REPORTING,04-06-2023,825234.0,733271,41.933,37.26,533741,27.121,02-04-2021,2.0,48801.0,2.48
Guyana,GUY,South America,SA,AMRO,REPORTING,02-06-2023,960133.0,495285,122.069,62.969,381984,48.564,11-02-2021,7.0,77874.0,9.901
Hungary,HUN,Europe,EU,EURO,REPORTING,06-08-2023,16570437.0,6358635,169.6,65.627,6152003,63.495,23-12-2020,8.0,3868653.0,39.928
Japan,JPN,Asia,AS,WPRO,REPORTING,03-10-2023,409826682.0,104707550,324.034,82.788,103388112,81.745,17-02-2021,4.0,86596573.0,68.469
Kyrgyzstan,KGZ,Asia,AS,EURO,REPORTING,18-06-2023,3167393.0,1528725,48.5,23.419,1337850,20.495,31-03-2021,6.0,300818.0,4.608
Mauritius,MUS,Africa,AF,AFRO,REPORTING,30-07-2023,2616012.0,1123773,205.699,88.363,1088142,85.561,26-01-2021,3.0,654507.0,51.464
Mongolia,MNG,Asia,AS,WPRO,REPORTING,17-03-2023,5668144.0,2284018,172.899,69.671,2185282,66.659,23-02-2021,6.0,1058839.0,32.299
North Macedonia,MKD,Europe,EU,EURO,REPORTING,07-05-2023,1862987.0,854570,89.4,40.629,838181,39.85,17-02-2021,7.0,161633.0,7.685
Seychelles,SYC,Africa,AF,AFRO,REPORTING,09-04-2023,224558.0,88520,228.332,90.008,83565,84.97,10-01-2021,4.0,44936.0,45.691
Trinidad and Tobago,TTO,North America,NA,AMRO,REPORTING,02-06-2023,1589640.0,754399,113.587,53.905,718969,51.374,17-02-2021,5.0,174836.0,12.493
Turkmenistan,TKM,Asia,AS,EURO,REPORTING,06-08-2023,16775970.0,4614869,278.2,72.768,4568901,72.044,24-02-2021,7.0,3816400.0,60.178
Uganda,UGA,Africa,AF,AFRO,REPORTING,28-05-2023,26406936.0,20033189,57.731,43.797,13061126,28.555,10-03-2021,5.0,764664.0,1.672
Ukraine,UKR,Europe,EU,EURO,REPORTING,27-02-2022,31668577.0,15774300,72.4,36.237,15153577,34.811,24-02-2021,6.0,741197.0,1.703
Yemen,YEM,Asia,AS,EMRO,REPORTING,17-09-2023,1287688.0,1041596,4.317,3.492,798451,2.677,20-04-2021,11.0,66565.0,0.223
Algeria,DZA,Africa,AF,AFRO,REPORTING,04-09-2022,15267442.0,7840131,34.817,17.879,6481186,14.78,30-01-2021,4.0,575651.0,1.313
Angola,AGO,Africa,AF,AFRO,REPORTING,17-09-2023,27309449.0,16406741,83.093,49.92,9472763,28.822,10-03-2021,1.0,2816195.0,8.569
Armenia,ARM,Asia,AS,EURO,REPORTING,03-09-2023,2163656.0,1124306,73.0,40.284,998071,35.761,27-01-2021,10.0,47379.0,1.698
Aruba,ABW,North America,NA,AMRO,REPORTING,02-06-2023,216974.0,90449,203.224,84.717,84297,78.955,17-02-2021,2.0,35659.0,33.399
Brazil,BRA,South America,SA,AMRO,REPORTING,02-06-2023,513329718.0,188746389,241.499,88.797,171459392,80.664,17-01-2021,5.0,110382337.0,51.93
Burkina Faso,BFA,Africa,AF,AFRO,REPORTING,23-07-2023,7893609.0,6089089,37.763,29.13,5232347,25.031,02-06-2021,3.0,4056.0,0.019
Costa Rica,CRI,North America,NA,AMRO,REPORTING,02-06-2023,13371989.0,4641899,262.499,91.123,4358863,85.567,24-12-2020,3.0,2957974.0,58.066
Dominica,DMA,North America,NA,AMRO,REPORTING,02-06-2023,67647.0,32995,93.966,45.832,30659,42.587,12-02-2021,5.0,3993.0,5.547
Finland,FIN,Europe,EU,EURO,REPORTING,13-08-2023,13264351.0,4547574,240.1,81.964,4365072,78.675,23-12-2020,5.0,3088576.0,55.668
French Guiana,GUF,South America,SA,AMRO,REPORTING,02-06-2023,242193.0,100299,81.087,33.581,90464,30.288,13-01-2021,3.0,46331.0,15.512
Gabon,GAB,Africa,AF,AFRO,REPORTING,05-02-2023,572672.0,311244,25.73,13.984,257471,11.568,23-03-2021,3.0,2592.0,0.116
Haiti,HTI,North America,NA,AMRO,REPORTING,02-06-2023,664150.0,521396,5.825,4.573,350403,3.073,0,2.0,0.0,0.0
Iceland,ISL,Europe,EU,EURO,REPORTING,16-04-2023,869976.0,307269,238.9,81.685,297921,79.182,30-12-2020,5.0,254556.0,67.656
Jersey,JEY,Europe,EU,EURO,OWID,29-01-2023,266953.0,84365,247.646,78.264,81882,75.96,0,3.0,73662.0,68.335
Lebanon,LBN,Asia,AS,EMRO,REPORTING,22-12-2022,5814699.0,2740227,85.192,40.147,2414223,35.371,14-02-2021,10.0,660249.0,9.673
Malaysia,MYS,Asia,AS,WPRO,REPORTING,24-09-2023,72809444.0,28133609,224.957,86.923,27546607,85.11,24-02-2021,8.0,16340805.0,50.488
Marshall Islands,MHL,Oceania,OC,WPRO,REPORTING,24-03-2023,110742.0,47077,187.083,79.53,40689,68.738,29-12-2020,3.0,18559.0,31.353
Myanmar,MMR,Asia,AS,SEARO,REPORTING,02-05-2023,89454913.0,40354937,164.41,74.169,35196377,64.688,27-01-2021,2.0,13903599.0,25.553
Oman,OMN,Asia,AS,EMRO,REPORTING,25-10-2022,7086050.0,3257365,138.762,63.787,3048826,59.703,29-12-2020,11.0,779859.0,15.272
