PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Alabama,365747,4872,202137.0,158738.0,USA,01.01.2021
Alaska,47019,206,7165.0,39648.0,USA,01.01.2021
American Samoa,0,0,,,ASM,01.01.2021
Arizona,530267,9015,76934.0,444318.0,USA,01.01.2021
Arkansas,229442,3711,199247.0,26484.0,USA,01.01.2021
California,2434971,26298,,,USA,01.01.2021
Colorado,362438,5435,18102.0,314186.0,USA,01.01.2021
Connecticut,185708,5995,9800.0,169913.0,USA,01.01.2021
Delaware,58064,1065,18851.0,38148.0,USA,01.01.2021
Diamond Princess,49,0,,,USA,01.01.2021
District of Columbia,29252,788,20941.0,7523.0,USA,01.01.2021
Florida,1323315,21673,,,USA,01.01.2021
Georgia,677589,10958,,,USA,01.01.2021
Grand Princess,103,3,,,USA,01.01.2021
Guam,7326,122,7047.0,157.0,GUM,01.01.2021
Hawaii,22397,289,11958.0,10150.0,USA,01.01.2021
Idaho,141077,1436,58649.0,80992.0,USA,01.01.2021
Illinois,963389,17978,,,USA,01.01.2021
Indiana,517773,9468,345474.0,162831.0,USA,01.01.2021
Iowa,282980,3898,241229.0,37853.0,USA,01.01.2021
Kansas,229822,2892,4612.0,222604.0,USA,01.01.2021
Kentucky,265261,2623,36740.0,225898.0,USA,01.01.2021
Louisiana,315275,7488,263712.0,44075.0,USA,01.01.2021
Maine,24902,352,11374.0,13176.0,USA,01.01.2021
Maryland,280219,5942,9358.0,264919.0,USA,01.01.2021
Massachusetts,375178,10522,261672.0,101083.0,USA,01.01.2021
Michigan,528621,13018,318389.0,197214.0,USA,01.01.2021
Minnesota,415302,5382,397080.0,12840.0,USA,01.01.2021
Mississippi,218386,4816,167263.0,46307.0,USA,01.01.2021
Missouri,445019,5747,397080.0,42192.0,USA,01.01.2021
Montana,81555,961,74991.0,5603.0,USA,01.01.2021
Nebraska,167716,1668,107694.0,58354.0,USA,01.01.2021
Nevada,227046,3143,,,USA,01.01.2021
