,Province_State,Confirmed,Deaths,Recovered,Active,ISO3,Date
0,Alabama,365747,4872,202137.0,158738.0,USA,01.01.2021
1,Alaska,47019,206,7165.0,39648.0,USA,01.01.2021
2,American Samoa,0,0,,,ASM,01.01.2021
3,Arizona,530267,9015,76934.0,444318.0,USA,01.01.2021
4,Arkansas,229442,3711,199247.0,26484.0,USA,01.01.2021
5,California,2434971,26298,,,USA,01.01.2021
6,Colorado,362438,5435,18102.0,314186.0,USA,01.01.2021
7,Connecticut,185708,5995,9800.0,169913.0,USA,01.01.2021
8,Delaware,58064,1065,18851.0,38148.0,USA,01.01.2021
9,Diamond Princess,49,0,,,USA,01.01.2021
10,District of Columbia,29252,788,20941.0,7523.0,USA,01.01.2021
11,Florida,1323315,21673,,,USA,01.01.2021
12,Georgia,677589,10958,,,USA,01.01.2021
13,Grand Princess,103,3,,,USA,01.01.2021
14,Guam,7326,122,7047.0,157.0,GUM,01.01.2021
15,Hawaii,22397,289,11958.0,10150.0,USA,01.01.2021
16,Idaho,141077,1436,58649.0,80992.0,USA,01.01.2021
17,Illinois,963389,17978,,,USA,01.01.2021
18,Indiana,517773,9468,345474.0,162831.0,USA,01.01.2021
19,Iowa,282980,3898,241229.0,37853.0,USA,01.01.2021
20,Kansas,229822,2892,4612.0,222604.0,USA,01.01.2021
21,Kentucky,265261,2623,36740.0,225898.0,USA,01.01.2021
22,Louisiana,315275,7488,263712.0,44075.0,USA,01.01.2021
23,Maine,24902,352,11374.0,13176.0,USA,01.01.2021
24,Maryland,280219,5942,9358.0,264919.0,USA,01.01.2021
25,Massachusetts,375178,10522,261672.0,101083.0,USA,01.01.2021
26,Michigan,528621,13018,318389.0,197214.0,USA,01.01.2021
27,Minnesota,415302,5382,397080.0,12840.0,USA,01.01.2021
28,Mississippi,218386,4816,167263.0,46307.0,USA,01.01.2021
29,Missouri,445019,5747,397080.0,42192.0,USA,01.01.2021
30,Montana,81555,961,74991.0,5603.0,USA,01.01.2021
31,Nebraska,167716,1668,107694.0,58354.0,USA,01.01.2021
32,Nevada,227046,3143,,,USA,01.01.2021
33,New Hampshire,45932,759,37350.0,7823.0,USA,01.01.2021
34,New Jersey,535043,19160,56109.0,459774.0,USA,01.01.2021
35,New Mexico,144142,2502,66638.0,75002.0,USA,01.01.2021
36,New York,995816,37973,102968.0,854875.0,USA,01.01.2021
37,North Carolina,539545,6748,403488.0,129309.0,USA,01.01.2021
38,North Dakota,92215,1316,89314.0,2140.0,USA,01.01.2021
39,Northern Mariana Islands,122,2,29.0,91.0,MNP,01.01.2021
40,Ohio,700380,13766,556106.0,130508.0,USA,01.01.2021
41,Oklahoma,291209,2489,255843.0,32877.0,USA,01.01.2021
42,Oregon,113909,1477,5870.0,106562.0,USA,01.01.2021
43,Pennsylvania,657071,16245,429017.0,211809.0,USA,01.01.2021
44,Puerto Rico,77054,1521,66930.0,8603.0,PRI,01.01.2021
45,Rhode Island,87949,1944,5381.0,80624.0,USA,01.01.2021
46,South Carolina,307507,5296,151084.0,151127.0,USA,01.01.2021
47,South Dakota,99164,1488,91980.0,5696.0,USA,01.01.2021
48,Tennessee,592168,6955,508914.0,76463.0,USA,01.01.2021
49,Texas,1822635,28416,1435164.0,356270.0,USA,01.01.2021
50,Utah,276612,1269,224439.0,50904.0,USA,01.01.2021
51,Vermont,7412,136,4959.0,2317.0,USA,01.01.2021
52,Virgin Islands,2036,23,1901.0,112.0,VIR,01.01.2021
53,Virginia,354766,5081,30964.0,318721.0,USA,01.01.2021
54,Washington,246752,3461,,,USA,01.01.2021
55,West Virginia,87820,1361,60316.0,26143.0,USA,01.01.2021
56,Wisconsin,522523,5254,450358.0,66911.0,USA,01.01.2021
57,Wyoming,44409,438,42570.0,1401.0,USA,01.01.2021
58,Alabama,896614,16455,,,USA,01.01.2022
59,Alaska,157169,978,,,USA,01.01.2022
60,American Samoa,10,0,,,ASM,01.01.2022
61,Arizona,1389708,24354,,,USA,01.01.2022
62,Arkansas,570641,9180,,,USA,01.01.2022
63,California,5519689,76443,,,USA,01.01.2022
64,Colorado,1004704,10815,,,USA,01.01.2022
65,Connecticut,510188,9160,,,USA,01.01.2022
66,Delaware,183880,2286,,,USA,01.01.2022
67,Diamond Princess,49,0,,,USA,01.01.2022
68,District of Columbia,94286,1211,,,USA,01.01.2022
69,Florida,4209927,62504,,,USA,01.01.2022
70,Georgia,1839879,31443,,,USA,01.01.2022
71,Grand Princess,103,3,,,USA,01.01.2022
72,Guam,19618,270,,,GUM,01.01.2022
73,Hawaii,115642,1094,,,USA,01.01.2022
74,Idaho,319382,4162,,,USA,01.01.2022
75,Illinois,2149574,31017,,,USA,01.01.2022
76,Indiana,1246854,19037,,,USA,01.01.2022
77,Iowa,575501,7858,,,USA,01.01.2022
78,Kansas,520134,7006,,,USA,01.01.2022
79,Kentucky,856145,12118,,,USA,01.01.2022
80,Louisiana,828695,14986,,,USA,01.01.2022
81,Maine,146736,1531,,,USA,01.01.2022
82,Maryland,735723,11758,,,USA,01.01.2022
83,Massachusetts,1140614,16706,,,USA,01.01.2022
84,Michigan,1710325,29020,,,USA,01.01.2022
85,Minnesota,1022212,10656,,,USA,01.01.2022
86,Mississippi,543737,10450,,,USA,01.01.2022
87,Missouri,1013458,16227,,,USA,01.01.2022
88,Montana,197724,2906,,,USA,01.01.2022
89,Nebraska,338257,3338,,,USA,01.01.2022
90,Nevada,484641,8419,,,USA,01.01.2022
91,New Hampshire,198667,1961,,,USA,01.01.2022
92,New Jersey,1596644,29053,,,USA,01.01.2022
93,New Mexico,350043,5855,,,USA,01.01.2022
94,New York,3517696,59585,,,USA,01.01.2022
95,North Carolina,1686667,19426,,,USA,01.01.2022
96,North Dakota,174516,2057,,,USA,01.01.2022
97,Northern Mariana Islands,3287,14,,,MNP,01.01.2022
98,Ohio,2016095,32021,,,USA,01.01.2022
99,Oklahoma,708938,12419,,,USA,01.01.2022
100,Oregon,421263,5655,,,USA,01.01.2022
101,Pennsylvania,2059613,36714,,,USA,01.01.2022
102,Puerto Rico,272724,3308,,,PRI,01.01.2022
103,Rhode Island,231096,3066,,,USA,01.01.2022
104,South Carolina,975320,14636,,,USA,01.01.2022
105,South Dakota,179204,2486,,,USA,01.01.2022
106,Tennessee,1443795,20762,,,USA,01.01.2022
107,Texas,4679048,75640,,,USA,01.01.2022
108,Utah,636992,3787,,,USA,01.01.2022
109,Vermont,64447,471,,,USA,01.01.2022
110,Virgin Islands,9648,89,,,VIR,01.01.2022
111,Virginia,1118518,15587,,,USA,01.01.2022
112,Washington,849075,9853,,,USA,01.01.2022
113,West Virginia,328162,5336,,,USA,01.01.2022
114,Wisconsin,1120663,11173,,,USA,01.01.2022
115,Wyoming,115638,1526,,,USA,01.01.2022
116,Alabama,1568934,20737,,,USA,
117,Alaska,301432,1455,,,USA,
118,American Samoa,8266,34,,,ASM,
119,Arizona,2378334,32182,,,USA,
120,Arkansas,985747,12695,,,USA,
121,California,11835450,98544,,,USA,
122,Colorado,1734782,13882,,,USA,
123,Connecticut,949324,11781,,,USA,
124,Delaware,321888,3206,,,USA,
125,Diamond Princess,49,0,,,USA,
126,District of Columbia,173386,1411,,,USA,
127,Florida,7338503,83906,,,USA,
128,Georgia,2985193,41417,,,USA,
129,Grand Princess,103,3,,,USA,
130,Guam,60020,411,,,GUM,
131,Hawaii,372198,1761,,,USA,
132,Idaho,511601,5316,,,USA,
133,Illinois,3969832,40678,,,USA,
134,Indiana,2002760,25364,,,USA,
135,Iowa,886411,10424,,,USA,
136,Kansas,917065,9717,,,USA,
137,Kentucky,1662581,17671,,,USA,
138,Louisiana,1514113,18370,,,USA,
139,Maine,306647,2790,,,USA,
140,Maryland,1318234,15967,,,USA,
141,Massachusetts,2154886,22940,,,USA,
142,Michigan,2988654,40767,,,USA,
143,Minnesota,1736893,14320,,,USA,
144,Mississippi,955145,13097,,,USA,
145,Missouri,1732724,22246,,,USA,
146,Montana,323055,3621,,,USA,
147,Nebraska,555114,4685,,,USA,
148,Nevada,876118,11751,,,USA,
149,New Hampshire,367542,2856,,,USA,
150,New Jersey,2926834,35510,,,USA,
151,New Mexico,659056,8814,,,USA,
152,New York,6576267,75139,,,USA,
153,North Carolina,3316814,27629,,,USA,
154,North Dakota,280818,2427,,,USA,
155,Northern Mariana Islands,13319,41,,,MNP,
156,Ohio,3307568,41257,,,USA,
157,Oklahoma,1250013,17412,,,USA,
158,Oregon,939303,8962,,,USA,
159,Pennsylvania,3416142,48892,,,USA,
160,Puerto Rico,1054239,5541,,,PRI,
161,Rhode Island,443645,3770,,,USA,
162,South Carolina,1770059,18834,,,USA,
163,South Dakota,271856,3118,,,USA,
164,Tennessee,2440840,28589,,,USA,
165,Texas,8211474,91594,,,USA,
166,Utah,1074828,5187,,,USA,
167,Vermont,148393,791,,,USA,
168,Virgin Islands,23781,127,,,VIR,
