PAIS_ISO3,PAIS_NOM,INDICADOR,FECHA,ANY_SEMANA,VALOR,FUENTE_ORIGEN
AUT,Austria,Daily hospital occupancy,01-04-2020,2020-14,856.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-04-2020,2020-14,823.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-04-2020,2020-14,829.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-04-2020,2020-14,826.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-04-2020,2020-14,712.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-04-2020,2020-15,824.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-04-2020,2020-15,857.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-04-2020,2020-15,829.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-04-2020,2020-15,820.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-04-2020,2020-15,771.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-04-2020,2020-15,790.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-04-2020,2020-15,792.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-04-2020,2020-16,742.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-04-2020,2020-16,759.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-04-2020,2020-16,769.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-04-2020,2020-16,729.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-04-2020,2020-16,682.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-04-2020,2020-16,647.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-04-2020,2020-16,613.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-04-2020,2020-17,611.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-04-2020,2020-17,560.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-04-2020,2020-17,524.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-04-2020,2020-17,508.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-04-2020,2020-17,495.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-04-2020,2020-17,460.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-04-2020,2020-17,449.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-04-2020,2020-18,439.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-04-2020,2020-18,425.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-04-2020,2020-18,386.0,Country_Website
