,PAIS_ISO3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
0,USA,Americas,102697566,31026.206,152968,46.214,0,1117054,337.476,2084,0.63,0
1,CHN,Western Pacific,99238143,6744.989,503,0.034,0,120894,8.217,70,0.005,0
2,IND,South-East Asia,44707525,3239.665,9407,0.682,0,530841,38.467,28,0.002,0
3,FRA,Europe,38677413,59467.703,42503,65.35,3,161857,248.86,122,0.188,0
4,DEU,Europe,38338298,46098.129,21329,25.646,0,170493,205.001,51,0.061,0
5,BRA,Americas,37204677,17503.189,0,0.0,0,699917,329.281,0,0.0,0
6,JPN,Western Pacific,33421785,26425.301,36194,28.617,0,73747,58.309,185,0.146,0
7,KOR,Western Pacific,30773460,60023.306,45403,88.558,0,34223,66.752,36,0.07,0
8,ITA,Europe,25673442,43046.28,7436,12.468,0,188933,316.781,64,0.107,0
9,GBR,Europe,24286411,35775.284,6814,10.037,0,210396,309.925,18,0.027,0
10,RUS,Europe,22603646,15488.902,65763,45.063,0,397146,272.14,208,0.143,0
11,TUR,Europe,17004677,20162.278,0,0.0,0,101419,120.252,0,0.0,0
12,ESP,Europe,13790580,29135.471,7417,15.67,0,120170,253.884,298,0.63,0
13,VNM,Western Pacific,11527210,11842.386,53,0.054,0,43186,44.367,0,0.0,0
14,AUS,Western Pacific,11077631,43441.888,0,0.0,0,19511,76.514,0,0.0,0
15,ARG,Americas,10044957,22225.434,0,0.0,0,130472,288.682,0,0.0,0
16,NLD,Europe,8608123,49450.415,996,5.722,0,22992,132.08,0,0.0,0
17,IRN,Eastern Mediterranean,7585422,9031.022,3821,4.549,0,145220,172.895,107,0.127,0
18,MEX,Americas,7527885,5838.613,10768,8.352,936,333449,258.622,37,0.029,6
19,IDN,South-East Asia,6744873,2465.92,2363,0.864,0,161013,58.866,31,0.011,0
20,POL,Europe,6491417,17101.516,10770,28.373,0,119265,314.201,66,0.174,0
21,COL,Americas,6361810,12502.847,517,1.016,0,142665,280.379,13,0.026,0
22,AUT,Europe,6024875,67687.133,17134,192.494,0,22082,248.083,10,0.112,0
23,GRC,Europe,5951892,55528.814,0,0.0,0,36517,340.689,0,0.0,0
24,PRT,Europe,5575030,54148.012,1501,14.579,0,26408,256.49,35,0.34,0
25,UKR,Europe,5445979,12452.575,0,0.0,0,111558,255.084,0,0.0,0
26,CHL,Americas,5255620,27493.015,19890,104.048,1393,64497,337.394,86,0.45,0
27,MYS,Western Pacific,5047040,15593.648,0,0.0,0,36972,114.231,0,0.0,0
28,ISR,Europe,4812797,55603.653,2557,29.542,0,12390,143.145,14,0.162,0
29,BEL,Europe,4767730,41377.781,1158,10.05,0,33982,294.92,15,0.13,0
30,THA,South-East Asia,4728632,6774.547,150,0.215,0,33935,48.617,6,0.009,0
31,CZE,Europe,4631804,43312.422,3424,32.018,0,42635,398.684,30,0.281,0
32,CAN,Americas,4625842,12256.433,7745,20.521,0,51930,137.592,117,0.31,0
33,PER,Americas,4491653,13622.689,1801,5.462,201,219741,666.45,63,0.191,16
34,CHE,Europe,4396055,50794.327,0,0.0,0,13965,161.359,0,0.0,0
35,PHL,Western Pacific,4080182,3723.437,957,0.873,0,66332,60.532,44,0.04,0
36,ZAF,Africa,4070434,6863.133,0,0.0,0,102595,172.985,0,0.0,0
37,DNK,Europe,3407804,58525.549,1450,24.902,0,8362,143.609,22,0.378,0
38,ROU,Europe,3367921,17424.332,8082,41.813,0,67858,351.071,37,0.191,0
39,SWE,Europe,2701192,26155.107,374,3.621,0,23851,230.945,0,0.0,0
40,SRB,Europe,2515136,36310.713,4962,71.636,0,17963,259.33,25,0.361,0
41,IRQ,Eastern Mediterranean,2465545,6129.767,0,0.0,0,25375,63.087,0,0.0,0
42,SGP,Western Pacific,2255812,38558.635,0,0.0,0,1722,29.434,0,0.0,0
43,NZL,Western Pacific,2206394,45754.612,9839,204.034,0,2662,55.203,76,1.576,0
44,HUN,Europe,2198461,22503.251,0,0.0,0,48707,498.561,0,0.0,0
45,BGD,South-East Asia,2038014,1237.49,32,0.019,0,29446,17.88,1,0.001,0
46,SVK,Europe,1865182,34174.155,355,6.504,0,21092,386.451,21,0.385,0
47,GEO,Europe,1833502,45961.934,0,0.0,0,17019,426.63,0,0.0,0
48,JOR,Eastern Mediterranean,1746997,17122.161,0,0.0,0,14122,138.408,0,0.0,0
49,IRL,Europe,1706176,34367.945,359,7.231,0,8750,176.254,31,0.624,0
50,PAK,Eastern Mediterranean,1579245,714.939,782,0.354,0,30649,13.875,4,0.002,0
51,KAZ,Europe,1500531,7991.449,290,1.544,0,19071,101.567,0,0.0,0
52,NOR,Europe,1480654,27585.131,379,7.061,0,5288,98.517,0,0.0,0
53,FIN,Europe,1465256,26519.069,25,0.452,0,9028,163.394,0,0.0,0
54,SVN,Europe,1338718,63874.37,1682,80.253,0,9201,439.008,1,0.048,0
55,LTU,Europe,1313445,47007.97,1566,56.047,0,9631,344.692,9,0.322,0
56,BGR,Europe,1299557,18694.675,783,11.264,0,38250,550.242,9,0.129,0
